congratulate	nsubj
christen	nsubjpass
bustle	nsubj
bundle	nsubj
braid	parataxis
bewilder	nsubjpass
banish	nsubj
assure	dep
announce	xcomp
alarm	nsubjpass
advertise	dobj
accuse	nsubjpass
accost	dobj
mutter	nsubj
propose	nsubj
alia	dobj
admire	nsubj
reply	nsubj
pause	nsubj
wonder	nsubj
fancy	nsubj
withdraw	nsubj
spend	nsubj
oblige	nsubjpass
stagger	nsubj
rejoin	nsubj
determine	nsubjpass
perceive	nsubj
retire	nsubj
inquire	nsubj
observe	nsubj
shudder	nsubj
wound	nsubj
tell	iobj
tap	nsubj
rally	nsubj
oppose	nsubj
kick	nsubj
hurry	nsubj
like	nsubj
gasp	nsubj
exclaim	nsubj
resolve	nsubj
marry	dobj
consider	nsubj
cry	nsubj
name	dobj
surprise	nsubjpass
order	nsubj
conduct	nsubj
sign	nsubj
convict	dobj
tolerate	nsubj
scratch	nsubj
pat	nsubj
pant	nsubj
meet	xcomp
impress	dobj
imagine	dep
gallop	nsubj
forget	dep
christen	dobj
blink	nsubj
assent	dep
annoy	dobj
affirm	nsubj
sleep	nsubj
utter	nsubj
remember	nsubj
complain	nsubj
build	nsubj
try	nsubj
search	nsubj
check	nsubj
attain	nsubj
write	nsubj
think	nsubj
watch	nsubj
hesitate	nsubj
stroll	nsubj
satisfy	nsubjpass
tease	dobj
shoulder	nsubj
shock	dobj
peep	nsubj
mean	ccomp
laugh	dep
hope	dep
excuse	nsubj
encourage	nsubj
descry	nsubj
dazzle	nsubjpass
calculate	nsubj
acquaint	nsubjpass
stare	nsubj
sigh	nsubj
recognize	nsubj
return	nsubj
pronounce	nsubj
promise	nsubj
marry	nsubj
direct	nsubj
explain	nsubj
perish	nsubj
mutter	dep
moan	dobj
invent	nsubj
grin	nsubj
evince	nsubj
beg	nsubj
pursue	nsubj
regain	nsubj
cough	nsubj
consent	nsubj
pick	nsubj
feel	nsubj
push	nsubj
grasp	nsubj
recoil	nsubj
motion	nsubj
raise	nsubj
wait	nsubj
look	nsubj
hear	nsubj
jump	nsubj
survey	nsubj
manage	nsubj
inform	dobj
place	nsubj
put	nsubj
read	nsubj
hope	nsubj
assure	nsubj
love	nsubj
wave	nsubj
notice	nsubj
demand	nsubj
see	nsubj
gaze	nsubj
lift	nsubj
shout	nsubj
prepare	nsubj
inquire	dobj
halt	nsubj
rub	nsubj
ride	nsubj
question	dobj
obey	nsubj
ejaculate	dobj
bite	nsubj
acknowledge	nsubj
resist	nsubj
dine	nsubj
defend	nsubj
wish	dep
want	dep
understand	dep
tempt	dobj
sigh	dobj
resolve	nsubjpass
reserve	nsubj
refer	nsubj
purchase	nsubj
name	nsubj
console	dobj
attribute	nsubj
surprise	dobj
spy	nsubj
sneer	nsubj
shrink	nsubj
plead	dobj
motion	dobj
mix	nsubj
loosen	nsubj
inherit	nsubj
greet	dobj
gasp	dobj
fret	nsubj
envy	nsubj
consult	nsubj
argue	nsubj
allude	nsubj
wipe	nsubj
warn	nsubjpass
wait	nsubjpass
tip	nsubj
tighten	nsubj
terrify	nsubjpass
sympathise	nsubj
subsist	nmod
state	nsubj
send	iobj
resign	nsubj
reside	nsubj
release	nsubjpass
recognize	xcomp
reckon	nsubjpass
re-appear	nsubj
ramble	nsubj
question	nsubj
puzzle	nsubj
prevent	nsubjpass
praise	dobj
pity	dobj
persuade	nsubjpass
_	parataxis
overhear	nmod
offend	dobj
nurse	nsubj
moan	nsubj
live	parataxis
lavish	nsubj
incline	nsubjpass
impose	nsubjpass
hiss	dobj
hew	nsubj
grunt	nsubj
grab	nsubj
feign	nsubj
entitle	nsubj
elbow	nsubj
drawl	nsubj
dispose	nsubj
declare	nmod:tmod
deal	nsubj
croak	nsubj
counsel	dobj
confide	nsubj
comfort	dobj
chafe	nsubj
bless	dep
balance	nsubj
attest	nmod
accompany	nsubjpass
wrong	dobj
wrest	nmod
wrestle	nmod
wot	nsubj
worship	nsubj
worry	nsubj
worm	nsubj
whitewash	nsubj
wed	dobj
weave	nsubj
weave	advcl
wean	dobj
want	nsubjpass
wag	nsubj
vote	nsubj
voice	nsubj
violate	nmod
vie	nsubj
verify	nmod
vanquish	nsubjpass
utilize	nsubj
unroll	nsubj
unload	nsubj
uncover	nsubj
typewrite	nmod
trim	nsubj
tramp	nsubj
thunder	dep
thrive	nmod
thrill	dobj
threaten	nsubjpass
thaw	nsubj
term	nsubj
talk	appos
swing	conj
surname	dobj
superpose	nsubjpass
summon	dep
sud	nmod
suck	nsubjpass
style	nsubj
stump	nsubjpass
stroke	nsubj
strangle	nsubjpass
stave	nsubj
state	ccomp
stare	parataxis
stammer	dep
stalk	nsubj
stake	nmod
sputter	nsubj
spit	nsubj
speculate	advcl
sound	parataxis
snort	dobj
snarl	nsubj
slice	nsubj
silence	nsubj
sight	dobj
shy	nsubj
shuffle	nsubj
shelter	nmod
seduce	dobj
scribble	nsubj
scramble	nsubj
scour	nsubj
scan	nsubj
sacrifice	nsubj
run	parataxis
ruinate	nsubj
risk	nsubj
rip	nsubj
retort	xcomp
respond	dep
rescue	nsubj
requite	nsubj
reproach	dobj
reply	conj
replenish	nmod
repel	nsubjpass
rehearse	nmod
rectify	dobj
recount	nsubj
